,epoch,costg,scost,lossg,p1,g_1,g_2,epoch_time,sampling_devg,mseg,avg_diffg,p1_g,best_dev,rationale_mser,p1_r,prec1,prec2
0,1,0.0432,0.0197,0.0235,0.12,0.2545,0.1186,15.5,0.0287,0.0211,0.2266,0.03,0.0287,0.0129,0.03,0.2158,0.2094
1,2,0.0282,0.0057,0.0225,0.03,0.3228,0.1789,6.84,0.0279,0.0204,0.224,0.03,0.0279,0.0128,0.03,0.2518,0.2443
2,3,0.0276,0.0053,0.0223,0.03,0.2822,0.099,6.83,0.0266,0.0209,0.2265,0.02,0.0266,0.0124,0.03,0.3353,0.3229
3,4,0.0266,0.0048,0.0219,0.02,0.1708,0.1572,6.87,0.0255,0.0201,0.224,0.02,0.0255,0.0124,0.03,0.4481,0.4613
4,5,0.0249,0.0045,0.0204,0.03,0.0772,0.0575,6.84,0.0233,0.0186,0.2299,0.03,0.0233,0.0116,0.03,0.8027,0.8059
5,6,0.0229,0.0037,0.0192,0.02,0.0619,0.0808,6.84,0.0225,0.0182,0.2399,0.02,0.0225,0.0113,0.03,0.8419,0.8449
6,7,0.0219,0.0033,0.0185,0.02,0.1064,0.0435,6.86,0.0215,0.0179,0.2337,0.02,0.0215,0.0113,0.02,0.8561,0.8679
7,8,0.0212,0.0028,0.0184,0.02,0.043,0.0275,6.82,0.0208,0.0177,0.2312,0.02,0.0208,0.0113,0.02,0.8304,0.835
8,9,0.0206,0.0023,0.0183,0.01,0.06,0.0327,6.83,0.0206,0.0174,0.236,0.02,0.0206,0.011,0.02,0.8541,0.8565
9,10,0.0202,0.0021,0.0181,0.01,0.0483,0.0463,6.82,0.0202,0.0177,0.2349,0.01,0.0202,0.0115,0.02,0.8745,0.8668
10,11,0.02,0.002,0.0179,0.01,0.0577,0.027,6.83,0.02,0.0179,0.2342,0.01,0.02,0.0116,0.01,0.903,0.8954
11,12,0.0198,0.0019,0.0179,0.01,0.0566,0.0415,6.88,0.0198,0.0178,0.2346,0.01,0.0198,0.0113,0.01,0.9026,0.8939
12,13,0.0197,0.0019,0.0179,0.01,0.0516,0.0286,6.86,0.0197,0.0173,0.235,0.01,0.0197,0.0112,0.01,0.8669,0.8745
13,14,0.0196,0.0016,0.018,0.01,0.0723,0.0221,6.84,0.0194,0.0175,0.2375,0.01,0.0194,0.0112,0.01,0.8675,0.8547
14,15,0.0194,0.0014,0.018,0.01,0.0643,0.0246,6.83,0.0191,0.0174,0.2402,0.01,0.0191,0.0109,0.01,0.8656,0.862
15,16,0.0191,0.0017,0.0174,0.01,0.0668,0.0527,6.86,0.0189,0.017,0.2322,0.01,0.0189,0.0113,0.01,0.9002,0.9034
16,17,0.019,0.0015,0.0175,0.01,0.0322,0.0417,6.82,0.0189,0.0176,0.2367,0.01,0.0189,0.0112,0.01,0.8926,0.8959
17,18,0.019,0.0013,0.0177,0.01,0.0523,0.0383,6.83,0.0187,0.0171,0.2376,0.01,0.0187,0.0112,0.01,0.8414,0.8422
18,19,0.0189,0.0015,0.0174,0.01,0.0938,0.0553,6.83,0.0188,0.0169,0.2443,0.01,0.0187,0.0105,0.01,0.8239,0.8212
19,20,0.0189,0.0014,0.0175,0.01,0.0497,0.031,6.82,0.0185,0.017,0.2392,0.01,0.0185,0.011,0.01,0.8658,0.8717
20,21,0.0188,0.0014,0.0174,0.01,0.0267,0.0413,6.84,0.0185,0.017,0.2378,0.01,0.0185,0.011,0.01,0.8811,0.8875
21,22,0.0189,0.0014,0.0175,0.01,0.0411,0.0362,6.86,0.0184,0.017,0.2356,0.01,0.0184,0.0113,0.01,0.9153,0.9107
22,23,0.0188,0.0016,0.0172,0.01,0.0566,0.039,6.85,0.0184,0.0171,0.2363,0.01,0.0184,0.011,0.01,0.9244,0.93
23,24,0.0188,0.0014,0.0174,0.01,0.0503,0.0411,6.84,0.0184,0.0169,0.2411,0.01,0.0184,0.0109,0.01,0.906,0.9158
24,25,0.0187,0.0015,0.0173,0.01,0.0749,0.0366,6.84,0.0184,0.0172,0.2361,0.01,0.0184,0.0114,0.01,0.9092,0.9156
25,26,0.0187,0.0015,0.0172,0.01,0.0396,0.0432,6.84,0.0183,0.0171,0.2323,0.01,0.0183,0.0115,0.01,0.9478,0.9484
26,27,0.0187,0.0015,0.0172,0.01,0.0343,0.0369,6.85,0.0183,0.0169,0.2329,0.01,0.0183,0.0113,0.01,0.8449,0.8429
27,28,0.0187,0.0015,0.0172,0.01,0.0526,0.0281,6.85,0.0184,0.0166,0.2383,0.01,0.0183,0.0109,0.01,0.8725,0.879
28,29,0.0186,0.0016,0.017,0.01,0.0445,0.034,6.83,0.0182,0.0167,0.2383,0.01,0.0182,0.0111,0.01,0.9063,0.9081
29,30,0.0185,0.0012,0.0173,0.01,0.0401,0.0323,6.85,0.0183,0.0172,0.2358,0.01,0.0182,0.0112,0.01,0.8698,0.8678
30,31,0.0185,0.0013,0.0172,0.01,0.0532,0.0406,6.84,0.0185,0.0166,0.2433,0.01,0.0182,0.0108,0.01,0.7512,0.7422
31,32,0.0186,0.0013,0.0173,0.01,0.0222,0.0401,6.88,0.0183,0.0173,0.2324,0.01,0.0182,0.0112,0.01,0.9336,0.9372
32,33,0.0185,0.0012,0.0173,0.01,0.0354,0.0459,6.83,0.0181,0.017,0.2375,0.01,0.0181,0.0111,0.01,0.9003,0.9019
33,34,0.0185,0.001,0.0175,0.01,0.0658,0.031,6.83,0.0182,0.0167,0.2425,0.01,0.0181,0.0107,0.01,0.8618,0.8613
34,35,0.0185,0.0014,0.017,0.01,0.0593,0.0297,6.82,0.018,0.0164,0.2408,0.01,0.018,0.0107,0.01,0.845,0.8437
35,36,0.0185,0.0017,0.0168,0.01,0.0372,0.0369,6.82,0.018,0.0164,0.2375,0.01,0.018,0.0108,0.01,0.9071,0.9109
36,37,0.0184,0.0013,0.0171,0.01,0.0569,0.0313,6.82,0.0181,0.0166,0.2381,0.01,0.018,0.0107,0.01,0.9196,0.9229
37,38,0.0183,0.0013,0.017,0.01,0.0325,0.0153,6.83,0.0179,0.0167,0.237,0.01,0.0179,0.0108,0.01,0.9186,0.9149
38,39,0.0184,0.0016,0.0168,0.01,0.0627,0.0449,6.83,0.0182,0.0164,0.2364,0.01,0.0179,0.0105,0.01,0.9409,0.9469
39,40,0.0184,0.0016,0.0168,0.01,0.0342,0.034,6.85,0.018,0.0166,0.2333,0.01,0.0179,0.0112,0.01,0.9187,0.9243
40,41,0.0183,0.0015,0.0168,0.01,0.0355,0.0317,6.84,0.0179,0.0165,0.2363,0.01,0.0179,0.0112,0.01,0.8963,0.895
41,42,0.0183,0.0012,0.0171,0.01,0.0593,0.0441,6.84,0.0183,0.0163,0.2462,0.01,0.0179,0.0102,0.01,0.7948,0.7949
42,43,0.0183,0.0014,0.0169,0.01,0.0292,0.0302,6.87,0.018,0.0164,0.2405,0.01,0.0179,0.0106,0.01,0.8872,0.8878
43,44,0.0183,0.0013,0.017,0.01,0.0563,0.0359,6.83,0.0179,0.0165,0.2389,0.01,0.0179,0.011,0.01,0.913,0.915
44,45,0.0182,0.0013,0.0169,0.01,0.0575,0.0413,6.83,0.018,0.0169,0.233,0.01,0.0179,0.0109,0.01,0.9411,0.9499
45,46,0.0183,0.0014,0.0169,0.01,0.0551,0.0403,6.83,0.0179,0.0167,0.2352,0.01,0.0179,0.0109,0.01,0.9495,0.9498
46,47,0.0182,0.0014,0.0168,0.01,0.0355,0.0536,6.83,0.0178,0.0168,0.2305,0.01,0.0178,0.011,0.01,0.9318,0.9358
47,48,0.0182,0.0012,0.017,0.01,0.0675,0.0348,6.85,0.0177,0.0165,0.2341,0.01,0.0177,0.011,0.01,0.9278,0.9265
48,49,0.0181,0.0015,0.0166,0.01,0.0594,0.0441,6.84,0.018,0.0169,0.2318,0.01,0.0177,0.0112,0.01,0.9288,0.9251
49,50,0.0184,0.0019,0.0165,0.01,0.062,0.0402,6.83,0.0178,0.0163,0.237,0.01,0.0177,0.0109,0.01,0.9342,0.9391
50,51,0.0181,0.0014,0.0168,0.01,0.0272,0.0422,6.82,0.0179,0.0169,0.2304,0.01,0.0177,0.0116,0.01,0.9707,0.9773
51,52,0.0181,0.0012,0.0169,0.01,0.054,0.0353,6.86,0.0178,0.0167,0.2318,0.01,0.0177,0.0113,0.01,0.9582,0.9619
52,53,0.0181,0.0013,0.0168,0.01,0.0534,0.047,6.85,0.0178,0.0169,0.2302,0.01,0.0177,0.0112,0.01,0.9575,0.9595
53,54,0.0181,0.0014,0.0167,0.01,0.0413,0.0261,6.84,0.0176,0.0161,0.2369,0.01,0.0176,0.0105,0.01,0.9112,0.9111
54,55,0.018,0.0013,0.0167,0.01,0.0717,0.0325,6.84,0.0177,0.0167,0.2333,0.01,0.0176,0.0111,0.01,0.9317,0.9314
55,56,0.018,0.0016,0.0165,0.01,0.0484,0.0296,6.84,0.0175,0.0163,0.2349,0.01,0.0175,0.0107,0.01,0.9242,0.9262
56,57,0.0179,0.0012,0.0168,0.01,0.072,0.0385,6.84,0.0175,0.0163,0.2321,0.01,0.0175,0.0111,0.01,0.9251,0.9259
57,58,0.0179,0.0013,0.0166,0.01,0.0412,0.0218,6.83,0.0176,0.0164,0.233,0.01,0.0175,0.0114,0.01,0.9344,0.9279
58,59,0.0179,0.0013,0.0167,0.01,0.0424,0.0173,6.84,0.0175,0.0164,0.2345,0.01,0.0175,0.0112,0.01,0.9559,0.956
59,60,0.0179,0.0014,0.0165,0.01,0.0685,0.0291,6.85,0.0175,0.0162,0.2327,0.01,0.0175,0.0108,0.01,0.9328,0.9347
60,61,0.0181,0.002,0.0161,0.01,0.1458,0.043,6.83,0.0178,0.0157,0.2375,0.01,0.0175,0.0104,0.01,0.9052,0.9083
61,62,0.018,0.0015,0.0165,0.01,0.0944,0.0439,6.85,0.0176,0.0155,0.2332,0.01,0.0175,0.0104,0.01,0.8716,0.8696
62,63,0.0179,0.0014,0.0165,0.01,0.0777,0.0329,6.83,0.0175,0.0158,0.2381,0.01,0.0175,0.0103,0.01,0.9082,0.9123
63,64,0.0178,0.0015,0.0163,0.01,0.0579,0.0388,6.84,0.0174,0.0162,0.2326,0.01,0.0174,0.011,0.01,0.9347,0.9408
64,65,0.0179,0.0011,0.0168,0.01,0.1088,0.0356,6.85,0.0175,0.0165,0.2342,0.01,0.0174,0.0114,0.01,0.9418,0.9499
65,66,0.0178,0.0013,0.0165,0.01,0.0722,0.0334,6.84,0.0175,0.0161,0.2355,0.01,0.0174,0.011,0.01,0.9104,0.9149
66,67,0.0178,0.0012,0.0166,0.01,0.0549,0.0252,6.86,0.0176,0.0166,0.2335,0.0,0.0174,0.0112,0.01,0.9308,0.9356
67,68,0.0178,0.0011,0.0167,0.01,0.0391,0.0287,6.85,0.0174,0.0164,0.2325,0.01,0.0174,0.0113,0.01,0.9466,0.946
68,69,0.0177,0.0011,0.0167,0.01,0.0409,0.0358,6.83,0.0174,0.0161,0.2381,0.01,0.0174,0.0108,0.01,0.9317,0.9361
69,70,0.0177,0.0013,0.0165,0.01,0.0557,0.0344,6.82,0.0174,0.0161,0.238,0.01,0.0174,0.0108,0.01,0.9428,0.944
70,71,0.0178,0.0013,0.0165,0.01,0.0557,0.0307,6.83,0.0173,0.0158,0.2383,0.01,0.0173,0.0105,0.01,0.9243,0.9279
71,72,0.0177,0.0014,0.0163,0.01,0.0389,0.0189,6.82,0.0174,0.0161,0.2381,0.01,0.0173,0.0108,0.01,0.9429,0.9501
72,73,0.0177,0.0012,0.0165,0.01,0.0389,0.0352,6.84,0.0175,0.0165,0.2336,0.01,0.0173,0.0115,0.01,0.9619,0.9658
73,74,0.0177,0.0012,0.0166,0.01,0.0524,0.0304,6.78,0.0173,0.0159,0.2376,0.01,0.0173,0.0107,0.01,0.9221,0.9268
74,75,0.0177,0.0013,0.0164,0.01,0.0787,0.0608,6.84,0.0174,0.0157,0.2376,0.01,0.0173,0.0105,0.01,0.8929,0.8894
75,76,0.0176,0.0014,0.0162,0.01,0.1124,0.0426,6.82,0.0175,0.0155,0.2371,0.01,0.0173,0.0102,0.01,0.8885,0.8826
76,77,0.0177,0.0015,0.0162,0.01,0.0554,0.0266,6.84,0.0173,0.0158,0.2386,0.01,0.0173,0.0108,0.01,0.9278,0.925
77,78,0.0177,0.0015,0.0162,0.01,0.0818,0.0465,6.85,0.0172,0.0158,0.2346,0.01,0.0172,0.0109,0.01,0.8964,0.894
78,79,0.0177,0.0013,0.0164,0.01,0.0364,0.0479,6.84,0.0174,0.0162,0.2312,0.01,0.0172,0.0112,0.01,0.9499,0.9514
79,80,0.0176,0.0012,0.0164,0.01,0.0366,0.0258,6.84,0.0173,0.0162,0.2353,0.01,0.0172,0.011,0.01,0.9435,0.9461
80,81,0.0177,0.0012,0.0165,0.01,0.083,0.0446,6.83,0.0176,0.0168,0.2298,0.0,0.0172,0.012,0.0,0.963,0.9615
81,82,0.0177,0.0011,0.0166,0.01,0.044,0.0266,6.84,0.0172,0.0159,0.2344,0.01,0.0172,0.0108,0.01,0.9007,0.8988
82,83,0.0176,0.0013,0.0164,0.01,0.0619,0.0362,6.83,0.0173,0.0162,0.2355,0.01,0.0172,0.0114,0.01,0.9484,0.9486
83,84,0.0177,0.0015,0.0161,0.01,0.0508,0.0528,6.84,0.0172,0.0157,0.2302,0.01,0.0172,0.011,0.01,0.8988,0.8972
84,85,0.0175,0.0013,0.0163,0.01,0.0399,0.0429,6.84,0.0174,0.0163,0.2316,0.01,0.0172,0.0116,0.01,0.9559,0.9587
85,86,0.0175,0.0014,0.0161,0.01,0.085,0.0378,6.83,0.0173,0.0159,0.2368,0.01,0.0172,0.011,0.01,0.9229,0.9242
86,87,0.0176,0.0015,0.016,0.01,0.0672,0.0397,6.84,0.0173,0.0157,0.2355,0.01,0.0172,0.0109,0.01,0.9256,0.9288
87,88,0.0177,0.0012,0.0165,0.01,0.0456,0.0362,6.83,0.0174,0.016,0.2378,0.01,0.0172,0.0108,0.01,0.9197,0.9227
88,89,0.0176,0.0015,0.0161,0.01,0.0373,0.0248,6.84,0.0174,0.0162,0.2339,0.01,0.0172,0.011,0.01,0.9626,0.9647
89,90,0.0176,0.0015,0.0161,0.01,0.0395,0.0291,6.84,0.0174,0.016,0.2359,0.01,0.0172,0.011,0.01,0.9214,0.9284
90,91,0.0175,0.0015,0.016,0.01,0.1222,0.0365,6.85,0.0173,0.0156,0.2372,0.01,0.0172,0.0107,0.01,0.9317,0.9364
91,92,0.0175,0.0013,0.0162,0.01,0.0899,0.0518,6.84,0.0173,0.0156,0.2369,0.01,0.0172,0.0106,0.01,0.8982,0.8983
92,93,0.0176,0.0017,0.0159,0.01,0.1587,0.0407,6.78,0.0173,0.0156,0.2361,0.01,0.0172,0.0107,0.01,0.9043,0.9115
93,94,0.0177,0.0018,0.0158,0.01,0.0615,0.0466,6.83,0.0174,0.0154,0.2326,0.01,0.0172,0.0105,0.01,0.8313,0.8272
